name,url
Counseling & Mental Health,https://counseling.tcu.edu/
Dean of Students,https://deanofstudents.tcu.edu/
Center for Academic Services (Tutoring),https://cas.tcu.edu/
Financial Aid,https://financialaid.tcu.edu/
Student Financial Services,https://finance.tcu.edu/
Housing & Residence Life,https://housing.tcu.edu/
Registrar,https://registrar.tcu.edu/
Career Services,https://careers.tcu.edu/
Student Disability Services,https://accessibility.tcu.edu/
Title IX & Institutional Equity,https://www.tcu.edu/institutional-equity/title-ix/index.php
TCU Core Curriculum,https://provost.tcu.edu/faculty-resources/core-curriculum/core-curriculum-students/required-courses/
